ID_Post	ID_Post	Headline	Body	Deleted	ArgumentsUsed	Discriminating	Inappropriate	OffTopic	PersonalStories	PossiblyFeedback	SentimentNegative	SentimentNeutral	SentimentPositive	new_labels	HeadBody
432258	432259		Das kann man nur mutmaßen, aber nicht erkennen. Könnten genauso gut einfach Dreckspritzer sein.	0	0	0	0	0	0	0	0	1	0	0000000010	 Das kann man nur mutmaßen, aber nicht erkennen. Könnten genauso gut einfach Dreckspritzer sein.
136446	136447		Sorry für die verursachte Mühe der Löschungen.	1	0	0	0	0	0	0	1	0	0	1000000100	 Sorry für die verursachte Mühe der Löschungen.
136458	136459		Witzig, dass der Poster selber nicht widersprochen hat. :-)	0	0	0	0	1	0	0	0	1	0	0000100010	 Witzig, dass der Poster selber nicht widersprochen hat. :-)
136457	136458		"Foggwulf und Mouilly haben es Ihnen ja schon erklärt und ihre richtige Interpretation dargelegt.

Auch bei diesem Posting bitte wieder anwenden ;)"	0	1	0	0	0	0	0	0	1	0	0100000010	" Foggwulf und Mouilly haben es Ihnen ja schon erklärt und ihre richtige Interpretation dargelegt.

Auch bei diesem Posting bitte wieder anwenden ;)"
136456	136457		"was auch erklärt, warum körperlich schwächere frauen die stärkeren männer verletzen können.
trotzdem kann ein schlag von einem mann ohne diese schranke, an einer frau mehr anrichten, als umgekehrt der schlag einer frau,
psychische gewalt ist immer auch teil der körperlichen, da wird abgewertet, isoliert, schuld vergeben....
daher ist noch immer ie frage, warum menschen schlagen, was da so aussetzt, und ob die auslöser/ursachen bei männern und frauen dieselben sind. beides ist zu hinterfragen. zahlenmäßig müsste eigentlich die kombination aus TätER und OpfER zuerst behandelt werden."	0	1	0	0	0	0	0	0	1	0	0100000010	" was auch erklärt, warum körperlich schwächere frauen die stärkeren männer verletzen können.
trotzdem kann ein schlag von einem mann ohne diese schranke, an einer frau mehr anrichten, als umgekehrt der schlag einer frau,
psychische gewalt ist immer auch teil der körperlichen, da wird abgewertet, isoliert, schuld vergeben....
daher ist noch immer ie frage, warum menschen schlagen, was da so aussetzt, und ob die auslöser/ursachen bei männern und frauen dieselben sind. beides ist zu hinterfragen. zahlenmäßig müsste eigentlich die kombination aus TätER und OpfER zuerst behandelt werden."
136455	136456		"Innere Zwangslage ist auch das Gegenteil von frei und mündig.
Äußere Zwangslage wird nicht streng vorausgesetzt ,weswegen ich sie bewusst weggelassen habe.
Nicht immer herrscht diese nämlich.

Und gleich mein erster Satz beschreibt die alleinige Schuld der Gewaltausübung beim Gewalttäter. 

Wenn aber eine Frau ohne äußeren Zwang bleibt, obwohl sie der körperlichen Gewalt ausgesetzt ist, dann gibt es nur zwei logische Schlüsse
1 Sie will das so
2 Sie ist nicht Entscheidungsfähig

Bei 1 sollte man sich nicht einmischen.
Bei 2 muss man sich einmischen, kann aber als Gesellschaft auch fragen, welche Entscheidungen die Frau sonst noch nicht alleine treffen kann. Klingt zynisch, ist aber nur logisch."	0	1	0	0	0	0	0	0	1	0	0100000010	" Innere Zwangslage ist auch das Gegenteil von frei und mündig.
Äußere Zwangslage wird nicht streng vorausgesetzt ,weswegen ich sie bewusst weggelassen habe.
Nicht immer herrscht diese nämlich.

Und gleich mein erster Satz beschreibt die alleinige Schuld der Gewaltausübung beim Gewalttäter. 

Wenn aber eine Frau ohne äußeren Zwang bleibt, obwohl sie der körperlichen Gewalt ausgesetzt ist, dann gibt es nur zwei logische Schlüsse
1 Sie will das so
2 Sie ist nicht Entscheidungsfähig

Bei 1 sollte man sich nicht einmischen.
Bei 2 muss man sich einmischen, kann aber als Gesellschaft auch fragen, welche Entscheidungen die Frau sonst noch nicht alleine treffen kann. Klingt zynisch, ist aber nur logisch."
136454	136455		"Im Artikel wird erklärt, dass die Gründe, warum Person B bleibt, äußere und innere Zwangslagen sind. Das ist das Gegenteil von ""freiwillig"".
Die Frage nach der Schuld für die Gewalttat hat damit außerdem überhaupt nichts zu tun. Die Schuld ist selbstverständlich auf der Seite des Gewaltausübenden zu suchen, ansonsten können wir jetzt gleich das Strafgesetzbuch umschreiben und das Verschulden am Raub trifft dann nicht mehr den Räuber, sondern denjenigen, der sich nicht gut genug gewehrt hat."	0	0	0	0	1	0	0	0	1	0	0000100010	" Im Artikel wird erklärt, dass die Gründe, warum Person B bleibt, äußere und innere Zwangslagen sind. Das ist das Gegenteil von ""freiwillig"".
Die Frage nach der Schuld für die Gewalttat hat damit außerdem überhaupt nichts zu tun. Die Schuld ist selbstverständlich auf der Seite des Gewaltausübenden zu suchen, ansonsten können wir jetzt gleich das Strafgesetzbuch umschreiben und das Verschulden am Raub trifft dann nicht mehr den Räuber, sondern denjenigen, der sich nicht gut genug gewehrt hat."
136453	136454	"""Männer ihre Frauen weniger, weil sie an die strafrechtlichen Konsequenzen denken?"" ""Natürlich"""	Eben nicht. Der Grund sind angeborene weibliche Eigenschaften, wie die Gebärfähigkeit.  Jede einfache Mutter ist mehr Wert, als ein mittelloser arbeitender Mann. (Das ist nicht meine, sondern die Meinung der Misandren)	0	0	0	0	1	0	0	1	0	0	0000100100	"""Männer ihre Frauen weniger, weil sie an die strafrechtlichen Konsequenzen denken?"" ""Natürlich"" Eben nicht. Der Grund sind angeborene weibliche Eigenschaften, wie die Gebärfähigkeit.  Jede einfache Mutter ist mehr Wert, als ein mittelloser arbeitender Mann. (Das ist nicht meine, sondern die Meinung der Misandren)"
136452	136453	"""Um die Behandlung der durch Kindheitserfahrungen geprägten Gewalttäter können sich die Männerrechtler kümmern"""	"Ach, dafür sind Männerrechtler plötzkich gut und nicht antifeministisch?
Sie sind schlicht, nur falsch und hinterlistig. Sie propagieren gerade wieder ein Täter-Opferbild vom Allerfeinsten. Es darf halt nicht sein, was nicht sein soll, wenn man herausfindet bzw, eingesteht, dass die geprägten Gewalttäter oft aus Mutterhand erzogen werden. ;-) Jungen lernen erst gar  keine Gefühlswelt kennen und lehnen diese dann auch ab, um sich von vermeintlicher Weiblichkeit zu distanzieren."	0	1	0	0	0	0	0	0	1	0	0100000010	"""Um die Behandlung der durch Kindheitserfahrungen geprägten Gewalttäter können sich die Männerrechtler kümmern"" Ach, dafür sind Männerrechtler plötzkich gut und nicht antifeministisch?
Sie sind schlicht, nur falsch und hinterlistig. Sie propagieren gerade wieder ein Täter-Opferbild vom Allerfeinsten. Es darf halt nicht sein, was nicht sein soll, wenn man herausfindet bzw, eingesteht, dass die geprägten Gewalttäter oft aus Mutterhand erzogen werden. ;-) Jungen lernen erst gar  keine Gefühlswelt kennen und lehnen diese dann auch ab, um sich von vermeintlicher Weiblichkeit zu distanzieren."
136451	136452	"""Dann kommt die Polizei, und... Ich bin die Treppe hinuntergefallen."""	Ich habe von einem Vater gehört, als seine Tochter auf der Treppe stolperte und sich den Nacken böse verenkte. Als er mit ihr ins Krankenhaus fuhr, wurde er vom Arzt aus den Behandlungsimmer gebeten. Durch seine Frau erfuhr er, dass seien Tochter gefragt wurde, ob sie von ihrem Vater geschlagen wurde. Der Vater wurde bezüglich, ob die Mutter genauso in Betracht komme, nicht befragt. Die Misandren sitzen vor allem in den eigenen Reihen und keiner regt sich auf oder macht ihnen den Gar aus.	0	0	0	0	1	0	0	0	1	0	0000100010	"""Dann kommt die Polizei, und... Ich bin die Treppe hinuntergefallen."" Ich habe von einem Vater gehört, als seine Tochter auf der Treppe stolperte und sich den Nacken böse verenkte. Als er mit ihr ins Krankenhaus fuhr, wurde er vom Arzt aus den Behandlungsimmer gebeten. Durch seine Frau erfuhr er, dass seien Tochter gefragt wurde, ob sie von ihrem Vater geschlagen wurde. Der Vater wurde bezüglich, ob die Mutter genauso in Betracht komme, nicht befragt. Die Misandren sitzen vor allem in den eigenen Reihen und keiner regt sich auf oder macht ihnen den Gar aus."
